iter	Logloss
0	0.6842621009
1	0.6771526237
2	0.6693878573
3	0.6640815136
4	0.658090881
5	0.6545041469
6	0.6488347478
7	0.6446543589
8	0.6400644991
9	0.6357369947
10	0.6319326431
11	0.6287795062
12	0.6255494762
13	0.6219472036
14	0.6189769725
15	0.6158671754
16	0.612323022
17	0.6092917557
18	0.6066862576
19	0.6034506753
20	0.6013281058
21	0.5974844888
22	0.5942993963
23	0.5922979385
24	0.5900346047
25	0.5867626729
26	0.5843603324
27	0.5828325761
28	0.5810776955
29	0.5796408928
30	0.5776410328
31	0.5764784888
32	0.5746337331
33	0.5734798571
34	0.5713126697
35	0.5699494047
36	0.5680648644
37	0.5666165976
38	0.5654576087
39	0.5646411836
40	0.5631084342
41	0.561495716
42	0.5602286773
43	0.5595089578
44	0.5576397162
45	0.5564577592
46	0.5551394717
47	0.554396864
48	0.5525856218
49	0.5505585596
50	0.5492118316
51	0.5485369298
52	0.5476529586
53	0.5469104307
54	0.5456277338
55	0.5447897786
56	0.5438501648
57	0.5426950105
58	0.541963787
59	0.541096193
60	0.5397771466
61	0.5392456854
62	0.5382982424
63	0.5371094948
64	0.5357270965
65	0.5337279155
66	0.532481568
67	0.5316941027
68	0.530755048
69	0.5297472889
70	0.5290540126
71	0.5283017783
72	0.5269874053
73	0.5261653081
74	0.5245164402
75	0.5233794207
76	0.5225976674
77	0.5218067269
78	0.5211911027
79	0.520703101
80	0.5201436787
81	0.5186324993
82	0.5179377052
83	0.5172176661
84	0.516314162
85	0.5157262992
86	0.5149269304
87	0.5138022937
88	0.5126270873
89	0.511100769
90	0.510354047
91	0.5093232799
92	0.5086057973
93	0.5080546035
94	0.5070138901
95	0.5060839828
96	0.5052475854
97	0.5042571622
98	0.5037061681
99	0.5028901425
100	0.5024068143
101	0.5011300691
102	0.5001422023
103	0.4989480623
104	0.498311627
105	0.4973488853
106	0.4969275509
107	0.4959503493
108	0.4954007134
109	0.494329802
110	0.4931811188
111	0.4923028996
112	0.4916526834
113	0.4903947121
114	0.4894310916
115	0.4886119503
116	0.4879084482
117	0.4871987148
118	0.4859742569
119	0.4848520968
120	0.4842665108
121	0.4833755094
122	0.482885191
123	0.4822757981
124	0.4814323705
125	0.4806784585
126	0.4800982251
127	0.4795495478
128	0.4791040071
129	0.47852645
130	0.477767465
131	0.4767975333
132	0.4763465602
133	0.4758887965
134	0.4752276755
135	0.4746479614
136	0.4740241086
137	0.4732902487
138	0.472171364
139	0.4713981189
140	0.4705359174
141	0.4695917898
142	0.4689350627
143	0.4682613193
144	0.4678897558
145	0.4674673031
146	0.4668743673
147	0.466345822
148	0.4656102046
149	0.4649706536
150	0.4645213981
151	0.4637031755
152	0.4630428933
153	0.4622211956
154	0.4615090655
155	0.4602788156
156	0.4594299157
157	0.4584773997
158	0.4578503913
159	0.4572389213
160	0.4565755235
161	0.4555657671
162	0.454673088
163	0.4536866992
164	0.4532754309
165	0.45257105
166	0.451939448
167	0.4513810243
168	0.4501105503
169	0.449346093
170	0.4485844318
171	0.448058363
172	0.4473070474
173	0.4464393336
174	0.4454406019
175	0.4446747465
176	0.4432412192
177	0.4424025451
178	0.441396184
179	0.4401605017
180	0.4394115428
181	0.4390568758
182	0.4380943738
183	0.4372829817
184	0.4367872308
185	0.4360545693
186	0.4350146149
187	0.4339692281
188	0.433096641
189	0.4321684912
190	0.4316064325
191	0.4307790626
192	0.4300182402
193	0.4294290992
194	0.428432205
195	0.4277489148
196	0.4269369235
197	0.4265347626
198	0.425676915
199	0.4250521835
200	0.4241826322
201	0.4233728379
202	0.4228710155
203	0.421916702
204	0.4214891364
205	0.4210513449
206	0.4204661584
207	0.4201502775
208	0.4190826017
209	0.4180942555
210	0.4177074333
211	0.4166405962
212	0.4153941289
213	0.4145755868
214	0.4140700096
215	0.4133515683
216	0.4127663018
217	0.4124457474
218	0.4117729227
219	0.4110074667
220	0.4103721099
221	0.4094127236
222	0.4088398
223	0.4082264126
224	0.4075223913
225	0.4066340661
226	0.4059981501
227	0.4053657891
228	0.4048462713
229	0.4039709281
230	0.4036093507
231	0.403011302
232	0.4024169682
233	0.4017679105
234	0.4013294799
235	0.400630172
236	0.3998852475
237	0.3991564206
238	0.3983171872
239	0.3976616585
240	0.3969921492
241	0.395854171
242	0.3953385278
243	0.3946218441
244	0.3938505962
245	0.3927254402
246	0.3914971876
247	0.3910176542
248	0.3903230597
249	0.3897966315
250	0.3892807087
251	0.3881607455
252	0.3871748759
253	0.386077801
254	0.3854146428
255	0.3844033286
256	0.3838154259
257	0.383316759
258	0.3829888549
259	0.3822879492
260	0.3815979084
261	0.3810581387
262	0.3806472698
263	0.3802035666
264	0.379873825
265	0.3788850794
266	0.3782514003
267	0.3779276104
268	0.3777532927
269	0.3768397626
270	0.3759734069
271	0.3753384895
272	0.3748948262
273	0.3739453061
274	0.3732771948
275	0.3727391827
276	0.3718812154
277	0.3714657129
278	0.3710530466
279	0.3705364447
280	0.3699383561
281	0.3695894012
282	0.3687733755
283	0.3682664002
284	0.3675440444
285	0.3666614313
286	0.3664919868
287	0.3659538149
288	0.365111386
289	0.3644584935
290	0.3636723064
291	0.3632198154
292	0.3626456535
293	0.3621501024
294	0.3617242144
295	0.3609838036
296	0.3601449697
297	0.3597632203
298	0.3593114483
299	0.3586805254
